price,mileage,power,prod_year,seats_num,fuel,color,link
121770,178000,388,2012,7,Benzyna,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-550-amg-7os-harman-kardon-zamiana-ID6EQLPD.html
163999,193000,258,2014,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-350cdi-amg-salon-pl-bezwypadek-serwis-7osob-panorama-max-opcja-ID6FklcI.html
52999,314000,225,2007,,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-benzyna-gl-ID6FxlFW.html
69987,352750,265,2011,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-cena-netto-56900-zl-ID6FtXy3.html
64000,314600,225,2009,7,Diesel,Srebrny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-drugi-wlasciciel-serwisowany-stan-bardzo-dobry-ID6FpkKm.html
67650,244000,225,2009,5,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-polska-salon-serwisowany-faktura-vat-ID6FsLnK.html
65000,330000,306,2010,5,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl-450-7-osobowy-ID6EWX3Q.html
94900,174312,340,2011,7,Benzyna+LPG,Srebrny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl-instalacja-gazowa-bezwypadkowy-ID6Frs3O.html
33000,190000,388,2009,,Benzyna,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-kupiony-gl-550-po-wszystkich-oplatach-ID6Fvgnu.html
76000,90810,333,2016,5,Benzyna,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-2016-mercedes-benz-gl-450-4matic-benzyna-4x4-automat-ID6FxV9Y.html
89999,158000,388,2011,7,Benzyna+LPG,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-gl-550-v8-gaz-7-os-full-opcja-najbogatsza-doinwestowany-1r-gwaranc-ID6FyGAi.html
229900,22936,435,2013,7,Benzyna,Srebrny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-550-pakiet-amg-przebieg-tylko-22-tys-km-ID6FyGfT.html
118900,168000,340,2013,5,Benzyna+LPG,Inny kolor,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-full-opcja-gaz-lpg-zarejestrowany-pl-ID6FqVyu.html
124900,270000,258,2013,7,Diesel,Szary,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-350-bluetec-4-matic-bi-xenon-ils-navi-full-vat-od-faktury-ID6FjfRK.html
125000,91009,211,2011,7,Diesel,Szary,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-gl-350-bluetec-distronic-kamera-cofania-ddb-auto-bogacka-ID6Fu3LZ.html
88500,178000,225,2010,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-pierwszy-wlasciciel-stan-idealny-ID6FwW4n.html
199000,98000,333,2016,7,Benzyna,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-gl450-3-0-v6-367km-ID6FyABv.html
134990,118670,435,2014,7,Benzyna,Granatowy,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-gl-450-idealny-4matic-full-niski-przebieg-118600km-ID6FliVw.html
190000,82000,258,2013,7,Diesel,Brązowy,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl350-bluetec-pakiet-gls-6-3-ID6BuZnd.html
125000,280000,333,2015,7,Benzyna,Srebrny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-4-0-benzyna-333km-7-osob-super-stan-mozliwa-zamiana-ID6FrIKM.html
188900,102000,435,2013,7,Benzyna,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-4-7-biturbo-435km-bezwypadkowy-japonia-akt-tempomat-idealny-ID6F2yaa.html
48000,326000,306,2007,,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-benz-420-cdi-4-matic-ID6FywMr.html
59000,178400,340,2007,7,Benzyna,Srebrny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-stan-idealny100-bezwypadkowy-oryginalny-lakier-szyby-ID6FvZsV.html
78500,264430,306,2010,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-benz-gl-450-cdi-4matic-okazja-prywatne-pewne-auto-ID6Fwmzy.html
79000,177000,340,2011,7,Benzyna,Szary,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-benz-gl-450-stan-idealny-2011r-4-7-v8-fullopcja-zarejestrowan-ID6FpDxI.html
359900,16979,558,2012,7,Benzyna,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-63amg-przebieg-tylko-17-tys-km-ID6FuIyK.html
139000,87000,388,2012,7,Benzyna,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-v8-388-km-stan-kolekcjonerski-jak-nowy-przebieg-87-tys-faktura-vat-ID6FvVl5.html
182999,111000,258,2016,7,Diesel,Szary,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-4x4-gl-350-d-258-km-7-osob-idealny-warszawa-ID6FqxBj.html
154000,99500,435,2013,7,Benzyna,Biały,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-benz-gl550-amg-2013-full-wersja-1reka-vfat-ID6ERfKU.html
109500,74291,388,2011,7,Benzyna,Szary,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-500-amg-grand-edytion-lift-led-eu-pl-masaze-nie-usa-7os-tv-dvd-navi-ID6Fwkm9.html
129000,130000,382,2012,7,Benzyna,Szary,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-550-4matic-raty-zamiana-gwarancja-ID6FxIG0.html
59900,455395,306,2008,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-gl-164-7-osob-full-opcja-ID6FwMHm.html
53900,312000,225,2007,5,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-3-0d-225km-4matic-xenon-grzane-wentyl-skory-airmatic-parktronic-serwis-ID6F9E88.html
159999,139086,258,2015,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-mercedes-gl350d-bluetec-ID6FxdUh.html
106900,312000,258,2013,7,Diesel,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-ID6FtjUR.html
95000,190000,340,2011,,Benzyna,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-ID6Fosq8.html
282898,154000,558,2015,7,Benzyna,Czarny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-bez-wypadkowy-salonowy-amg-ID6EkXjd.html
63500,312900,211,2010,7,Diesel,Srebrny,https://www.otomoto.pl/osobowe/oferta/mercedes-benz-gl-pierwszy-wlasciciel-w-polsce-oryginalny-przebieg-ID6Fp9co.html
